朝楼,瘤痢,乞闭扁柯(∩),弥历扁柯(∩),弥绊扁柯(∩)
"2022-01-01",力林,5.2,1.4,9.1
"2022-01-02",力林,7.3,3.2,12.1
"2022-01-03",力林,6.7,3.7,10.4
"2022-01-04",力林,7.1,4.5,10.3
"2022-01-05",力林,5.8,3.7,7.2
"2022-01-06",力林,7.2,4.8,9.9
"2022-01-07",力林,6.2,3,10.2
"2022-01-08",力林,6.7,4.5,9.5
"2022-01-09",力林,7.6,4.2,10.6
"2022-01-10",力林,7.5,4.9,10.9
"2022-01-11",力林,3.3,1.1,7.4
"2022-01-12",力林,3.6,1.5,6.1
"2022-01-13",力林,3.8,2.1,6.3
"2022-01-14",力林,4.3,2.6,6.7
"2022-01-15",力林,7,4.3,10.8
"2022-01-16",力林,7.2,4.1,10.9
"2022-01-17",力林,5.6,3.8,7.9
"2022-01-18",力林,3.9,1.7,6.9
"2022-01-19",力林,5.3,1.8,9.5
"2022-01-20",力林,3.1,1.1,5.9
"2022-01-21",力林,6.7,1.1,10.4
"2022-01-22",力林,10.2,7.7,13.6
"2022-01-23",力林,10.2,8.9,11.7
"2022-01-24",力林,10.3,8.7,12.9
"2022-01-25",力林,8.9,7.8,10.1
"2022-01-26",力林,7.7,6.2,9.8
"2022-01-27",力林,6.6,5.3,8.3
"2022-01-28",力林,5.7,4.6,8.2
"2022-01-29",力林,5.2,4.5,6.9
"2022-01-30",力林,5.1,3.3,7.7
"2022-01-31",力林,5.3,2.1,8.6
"2022-02-01",力林,6,3.2,8.8
"2022-02-02",力林,5,3,7.3
"2022-02-03",力林,4.9,3.1,7.5
"2022-02-04",力林,4.4,1.7,8
"2022-02-05",力林,2.6,1.1,4.3
"2022-02-06",力林,3.9,1.7,6.9
"2022-02-07",力林,4.1,1.4,6.5
"2022-02-08",力林,5,2,8
"2022-02-09",力林,6.2,2,10.3
"2022-02-10",力林,6.3,4.2,9.2
"2022-02-11",力林,7.4,3.3,11.2
"2022-02-12",力林,9.8,7.1,12.4
"2022-02-13",力林,10,8.4,11.5
"2022-02-14",力林,9.3,6.5,13.4
"2022-02-15",力林,4,1.4,8.1
"2022-02-16",力林,1.9,0.4,4.5
"2022-02-17",力林,0.9,-0.4,2.7
"2022-02-18",力林,6.1,0.3,10.2
"2022-02-19",力林,5.3,2.5,7.9
"2022-02-20",力林,1.6,-0.7,3.4
"2022-02-21",力林,4.3,0.6,7.9
"2022-02-22",力林,4.1,1.9,6.8
"2022-02-23",力林,2.3,0.7,4.6
"2022-02-24",力林,3.5,0.3,6.8
"2022-02-25",力林,6.2,2.1,11.3
"2022-02-26",力林,9,3.2,13.9
"2022-02-27",力林,7.5,4.6,11.8
"2022-02-28",力林,9.6,3.3,13.5
"2022-03-01",力林,11.1,7,15.3
"2022-03-02",力林,6.6,3.8,10
"2022-03-03",力林,9.5,3.6,14.1
"2022-03-04",力林,11.6,6.7,16.1
"2022-03-05",力林,9,5.7,13.7
"2022-03-06",力林,6,3.9,9.3
"2022-03-07",力林,7.5,4.7,11
"2022-03-08",力林,9.5,4.3,15.3
"2022-03-09",力林,10.9,6.5,15.7
"2022-03-10",力林,12.6,6.5,17.6
"2022-03-11",力林,16.2,13.2,19.6
"2022-03-12",力林,17.1,12.5,21.2
"2022-03-13",力林,16,13.5,17.8
"2022-03-14",力林,13.8,10.6,17.2
"2022-03-15",力林,11.3,7.7,16.2
"2022-03-16",力林,13.8,8.8,18.3
"2022-03-17",力林,13.4,11.1,17.4
"2022-03-18",力林,10.7,9.2,12.6
"2022-03-19",力林,7.7,5.9,9.7
"2022-03-20",力林,8,6.1,10.2
"2022-03-21",力林,9.2,6.1,12.2
"2022-03-22",力林,9.4,6.6,12.4
"2022-03-23",力林,9.3,6.9,13.1
"2022-03-24",力林,11.3,6.3,15.5
"2022-03-25",力林,16.2,10.6,19
"2022-03-26",力林,12.7,9.8,18.5
"2022-03-27",力林,12.9,9,18.6
"2022-03-28",力林,11,7.6,14.3
"2022-03-29",力林,12.9,8.8,17
"2022-03-30",力林,16.4,12,20.3
"2022-03-31",力林,12.2,9.9,15.4
"2022-04-01",力林,11.5,8.8,14.6
"2022-04-02",力林,10.4,7.6,14.2
"2022-04-03",力林,10.4,6.1,14.5
"2022-04-04",力林,12,7.3,16.7
"2022-04-05",力林,12.5,7.8,16.7
"2022-04-06",力林,13.4,9.2,18.1
"2022-04-07",力林,13.7,9.6,18.8
"2022-04-08",力林,15.1,9.6,20
"2022-04-09",力林,16.8,12.5,21.1
"2022-04-10",力林,18.3,13.1,22.4
"2022-04-11",力林,19.8,17.8,23.1
"2022-04-12",力林,18.6,16.5,22.1
"2022-04-13",力林,18,14.4,23
"2022-04-14",力林,14.4,13.2,15.9
"2022-04-15",力林,14,11.6,17.1
"2022-04-16",力林,13.3,10.5,16.7
"2022-04-17",力林,14.5,10.2,19.1
"2022-04-18",力林,15.4,12.8,18.6
"2022-04-19",力林,16,12.2,20.1
"2022-04-20",力林,15.9,10.9,20.3
"2022-04-21",力林,14,11.5,17.4
"2022-04-22",力林,17,11.7,21.4
"2022-04-23",力林,17.8,16.2,20.6
"2022-04-24",力林,17.9,15.5,21.4
"2022-04-25",力林,20,15,24.3
"2022-04-26",力林,18.1,15.1,21.2
"2022-04-27",力林,17.4,14.3,22.5
"2022-04-28",力林,17.8,14.1,21.4
"2022-04-29",力林,13.8,11.3,18
"2022-04-30",力林,15,13,18.1
"2022-05-01",力林,14.5,11.9,18.2
"2022-05-02",力林,16.5,12.3,21.1
"2022-05-03",力林,14.9,10.1,18.7
"2022-05-04",力林,16.1,11.7,20.2
"2022-05-05",力林,19.2,12.7,24.4
"2022-05-06",力林,20.3,16.6,24.5
"2022-05-07",力林,19.6,16.3,23.9
"2022-05-08",力林,18.1,15,21.6
"2022-05-09",力林,17.5,15.7,20.6
"2022-05-10",力林,17.9,15,20.9
"2022-05-11",力林,18.7,17.4,20.5
"2022-05-12",力林,19.3,17.3,22.7
"2022-05-13",力林,17.5,15.4,19.9
"2022-05-14",力林,16.9,14.3,20.9
"2022-05-15",力林,16.2,14.3,19.3
"2022-05-16",力林,17.4,13.4,22
"2022-05-17",力林,19,13.8,23.5
"2022-05-18",力林,19.8,14.9,23.6
"2022-05-19",力林,19.7,16.2,23.1
"2022-05-20",力林,20.4,17.4,24.3
"2022-05-21",力林,19.9,15.6,23.9
"2022-05-22",力林,20.5,15.3,25
"2022-05-23",力林,21,17.7,25.5
"2022-05-24",力林,21.3,17.7,25.3
"2022-05-25",力林,20.9,17.8,25.3
"2022-05-26",力林,19.2,16.5,22.6
"2022-05-27",力林,21.7,14.6,28
"2022-05-28",力林,20.8,17.4,25.3
"2022-05-29",力林,20.1,17.6,22.7
"2022-05-30",力林,20.1,18.5,23.2
"2022-05-31",力林,20.7,17.2,25.5
"2022-06-01",力林,20,16.6,23.9
"2022-06-02",力林,20.5,17,24.5
"2022-06-03",力林,20.9,17.4,24
"2022-06-04",力林,22.3,19.2,25.8
"2022-06-05",力林,19.3,17.1,22.2
"2022-06-06",力林,20.5,17.6,24.3
"2022-06-07",力林,20.3,17.6,23.4
"2022-06-08",力林,20.4,18.1,24
"2022-06-09",力林,20.7,17.8,24.5
"2022-06-10",力林,21.6,17.9,24.6
"2022-06-11",力林,21.2,18.4,24.4
"2022-06-12",力林,21.4,19,24.7
"2022-06-13",力林,20.2,19.2,21.9
"2022-06-14",力林,19.9,18.9,21.4
"2022-06-15",力林,21.8,18.7,25.6
"2022-06-16",力林,21.6,19.2,25
"2022-06-17",力林,22.4,20.4,25.4
"2022-06-18",力林,23.3,21.1,26.5
"2022-06-19",力林,24,21.5,28
"2022-06-20",力林,23.1,21.3,25.5
"2022-06-21",力林,23.6,21.2,27
"2022-06-22",力林,23.8,20.5,27.4
"2022-06-23",力林,25.2,23.1,27.4
"2022-06-24",力林,24.3,22.6,27.2
"2022-06-25",力林,25.1,22.6,28.8
"2022-06-26",力林,26,24.1,28.5
"2022-06-27",力林,26.2,24.7,28.3
"2022-06-28",力林,26.4,25.3,28
"2022-06-29",力林,26.6,25.2,28.7
"2022-06-30",力林,26.8,25.1,29.4
"2022-07-01",力林,26.8,24.7,29.9
"2022-07-02",力林,26.8,23.5,30.1
"2022-07-03",力林,27.4,25,31.5
"2022-07-04",力林,27,25.3,30.2
"2022-07-05",力林,27.4,25.2,29.9
"2022-07-06",力林,28.5,26.4,31
"2022-07-07",力林,28.7,27,31.2
"2022-07-08",力林,28,26.2,31.6
"2022-07-09",力林,27.5,24.9,30.5
"2022-07-10",力林,27.7,24.5,31
"2022-07-11",力林,26.4,23.7,29.3
"2022-07-12",力林,27.7,25.2,30.8
"2022-07-13",力林,28.1,26.1,30.8
"2022-07-14",力林,28,25.7,31.7
"2022-07-15",力林,25.9,24.4,28
"2022-07-16",力林,26.7,23.3,30.7
"2022-07-17",力林,27,25,30
"2022-07-18",力林,27.7,25.6,29.7
"2022-07-19",力林,26.8,24.3,29.7
"2022-07-20",力林,26.6,23.9,29.1
"2022-07-21",力林,27.2,24.3,31.5
"2022-07-22",力林,26.4,23.5,30.3
"2022-07-23",力林,27.1,23.7,30.1
"2022-07-24",力林,27,24.3,30.6
"2022-07-25",力林,26,23.5,29.2
"2022-07-26",力林,26.4,22.4,30.3
"2022-07-27",力林,27.5,24.7,30.6
"2022-07-28",力林,28.9,25.9,32.7
"2022-07-29",力林,28.9,26.7,32.4
"2022-07-30",力林,27.1,25.7,28.7
"2022-07-31",力林,27.3,25.9,28.7
"2022-08-01",力林,27.9,26.2,30.2
"2022-08-02",力林,28.3,26,31.1
"2022-08-03",力林,28.8,26.9,31.4
"2022-08-04",力林,29.2,26.8,32.2
"2022-08-05",力林,29.5,27.5,32.6
"2022-08-06",力林,29.6,27.1,32.5
"2022-08-07",力林,30,28,32.7
"2022-08-08",力林,30,28.1,33
"2022-08-09",力林,29.7,27.3,32.9
"2022-08-10",力林,29.8,27.8,33.5
"2022-08-11",力林,29.7,27.9,32.2
"2022-08-12",力林,29.1,27.2,31.9
"2022-08-13",力林,29.7,27,32.5
"2022-08-14",力林,29.8,28,33
"2022-08-15",力林,30.2,28.1,33.2
"2022-08-16",力林,29.3,27.2,31.5
"2022-08-17",力林,25.9,24.4,28.2
"2022-08-18",力林,26.7,23.6,29.6
"2022-08-19",力林,29.3,26.1,32.4
"2022-08-20",力林,28.4,26.6,30.9
"2022-08-21",力林,27.1,25.1,29.8
"2022-08-22",力林,27.7,24.8,30.6
"2022-08-23",力林,29,25.2,32.2
"2022-08-24",力林,26.6,23.3,29.8
"2022-08-25",力林,26,22.1,30
"2022-08-26",力林,25.2,23.3,28.2
"2022-08-27",力林,25.1,21.9,29.2
"2022-08-28",力林,24.6,20.7,28.3
"2022-08-29",力林,25.8,21.9,28.9
"2022-08-30",力林,28.1,24.9,32.2
"2022-08-31",力林,25.6,24.2,28.4
"2022-09-01",力林,24.7,23.4,26.4
"2022-09-02",力林,23.2,21.4,25.1
"2022-09-03",力林,26,24,28.3
"2022-09-04",力林,26,22.9,29.3
"2022-09-05",力林,26.3,24.7,27.6
"2022-09-06",力林,23.4,21.1,26.9
"2022-09-07",力林,24,19.6,28
"2022-09-08",力林,23.9,20.6,27.4
"2022-09-09",力林,23.9,20.8,27.1
"2022-09-10",力林,24.3,22.2,27.9
"2022-09-11",力林,25,23,28
"2022-09-12",力林,24.7,23.5,26
"2022-09-13",力林,24.5,23.7,25.3
"2022-09-14",力林,25.6,24.4,27.3
"2022-09-15",力林,26,25.2,27.9
"2022-09-16",力林,27.4,25.3,30.5
"2022-09-17",力林,26.3,24.4,29.4
"2022-09-18",力林,27.3,25.2,30.2
"2022-09-19",力林,25.4,22,28.8
"2022-09-20",力林,22.4,20.9,25.4
"2022-09-21",力林,21.6,19.6,24.6
"2022-09-22",力林,22,19.4,25.4
"2022-09-23",力林,22,19,25.8
"2022-09-24",力林,20.7,18.4,23.3
"2022-09-25",力林,22.1,19,26
"2022-09-26",力林,22.4,19.6,25.8
"2022-09-27",力林,22.4,19.4,25.8
"2022-09-28",力林,22.9,20.7,25.5
"2022-09-29",力林,22.2,18.9,26.3
"2022-09-30",力林,21.8,17.6,26.1
"2022-10-01",力林,22.2,17.7,26.4
"2022-10-02",力林,23.9,18.9,27.7
"2022-10-03",力林,25.7,23.5,28.6
"2022-10-04",力林,22,18.9,26.4
"2022-10-05",力林,19.2,17,21.7
"2022-10-06",力林,18.1,16.1,21.1
"2022-10-07",力林,17.4,15.2,20.1
"2022-10-08",力林,18.3,15.5,20.5
"2022-10-09",力林,18.5,16.2,20.6
"2022-10-10",力林,15.9,14.2,18.3
"2022-10-11",力林,16.4,14,19.3
"2022-10-12",力林,17.9,12.8,20.7
"2022-10-13",力林,19.6,17.6,22.2
"2022-10-14",力林,19.4,17.2,22.5
"2022-10-15",力林,20.1,16.8,23.3
"2022-10-16",力林,20.4,18.4,23.2
"2022-10-17",力林,16.9,13.7,20.3
"2022-10-18",力林,14.4,12.4,17.4
"2022-10-19",力林,14.8,12.2,18
"2022-10-20",力林,16.4,12.5,20.2
"2022-10-21",力林,19.3,14.5,23.4
"2022-10-22",力林,20.3,17.9,24.2
"2022-10-23",力林,17.5,14.9,20.4
"2022-10-24",力林,15,12.5,17.9
"2022-10-25",力林,14.5,10.8,17.8
"2022-10-26",力林,17.7,14.6,21.5
"2022-10-27",力林,16.8,14,20.5
"2022-10-28",力林,16.8,13.1,20.7
"2022-10-29",力林,18.5,15,22
"2022-10-30",力林,18,15.5,20.9
"2022-10-31",力林,17.5,15.3,20.2
"2022-11-01",力林,17.2,14.4,20.8
"2022-11-02",力林,16.3,12.9,20.1
"2022-11-03",力林,16.1,11.6,20.2
"2022-11-04",力林,12.9,11.1,15.6
"2022-11-05",力林,12.5,10.4,15.5
"2022-11-06",力林,12.5,8.9,16.6
"2022-11-07",力林,13.7,9.7,17.9
"2022-11-08",力林,15.1,10.8,20.5
"2022-11-09",力林,16.9,12.5,21.7
"2022-11-10",力林,18.8,14.5,23.1
"2022-11-11",力林,20.6,18.2,23.7
"2022-11-12",力林,21,18.9,23.5
"2022-11-13",力林,15.4,12.5,21.8
"2022-11-14",力林,13.8,12,16.7
"2022-11-15",力林,12.7,9.8,16.1
"2022-11-16",力林,13.7,8.5,19.1
"2022-11-17",力林,14.8,11.8,18
"2022-11-18",力林,17,14.7,20.4
"2022-11-19",力林,18,15.9,21.1
"2022-11-20",力林,16,14.6,17.8
"2022-11-21",力林,16.3,13.2,20.2
"2022-11-22",力林,16.1,13.6,18.3
"2022-11-23",力林,14.9,12.2,17.1
"2022-11-24",力林,13.7,10.4,17.9
"2022-11-25",力林,15.5,9.6,21
"2022-11-26",力林,15,11.4,18.7
"2022-11-27",力林,15.3,9.5,19.1
"2022-11-28",力林,21,16.9,24.3
"2022-11-29",力林,14.8,9.9,20.8
"2022-11-30",力林,6.1,4.1,10.1
"2022-12-01",力林,5.2,3.6,7.2
"2022-12-02",力林,6.7,4.2,10
"2022-12-03",力林,10.8,7.1,13
"2022-12-04",力林,8.9,7.2,11.4
"2022-12-05",力林,6.6,4.5,8.5
"2022-12-06",力林,7.9,3.4,12.1
"2022-12-07",力林,9.9,5.4,14
"2022-12-08",力林,9.5,5.5,13.4
"2022-12-09",力林,11.1,8.1,14.7
"2022-12-10",力林,11.4,8.8,15
"2022-12-11",力林,8.9,5.9,11.1
"2022-12-12",力林,8.8,5.4,11.6
"2022-12-13",力林,9.3,6.8,12.1
"2022-12-14",力林,4.1,2.4,7.3
"2022-12-15",力林,6.3,2.5,10.9
"2022-12-16",力林,6.5,4.7,9.9
"2022-12-17",力林,3.2,-0.2,6
"2022-12-18",力林,1.7,-1.1,3.8
"2022-12-19",力林,5.5,1.5,8.5
"2022-12-20",力林,8.8,3.9,12.6
"2022-12-21",力林,9.3,7.1,12.4
"2022-12-22",力林,2.6,-0.4,7.3
"2022-12-23",力林,1.1,-1,2.8
"2022-12-24",力林,3.4,1,5.1
"2022-12-25",力林,5.7,3.2,8.9
"2022-12-26",力林,6.5,4.2,9.1
"2022-12-27",力林,6.6,4.9,8.8
"2022-12-28",力林,6.5,4.8,9.2
"2022-12-29",力林,5.7,4,8
"2022-12-30",力林,6.4,4.1,9
"2022-12-31",力林,6.1,3.2,9.7
